ID,avg_ANXIETY,AC_c_down1or2_CP,ThinksFreq_CP,DesiresCloseness_CP,Female,Needstobelong,CSWcontingent_on_academics,IntrinsicGroup,AppearanceGroup,CompetenceGroup
1,1,0,0,1,0,0,0,1,0,0
11,2,0,0,1,0,0,0,1,0,0
87,1,0,0,1,0,0,0,0,1,0
136,4,0,0,1,0,0,0,0,0,1
80,1.5,0,0,1,0,0,1,0,1,0
138,1.5,0,0,1,0,0,1,0,0,1
163,5,0,0,1,0,0,1,0,0,1
88,6,0,0,1,0,1,0,0,1,0
92,5,0,0,1,0,1,0,0,1,0
148,2,0,0,1,0,1,0,0,0,1
101,6,0,0,1,0,1,1,0,1,0
167,2.5,0,0,1,0,1,1,0,0,1
2,2.5,0,0,1,1,0,0,1,0,0
17,1,0,0,1,1,0,0,1,0,0
29,2,0,0,1,1,0,0,1,0,0
82,4,0,0,1,1,0,0,0,1,0
97,3.5,0,0,1,1,0,0,0,1,0
171,5,0,0,1,1,0,0,0,0,1
33,1.5,0,0,1,1,0,1,1,0,0
133,4.5,0,0,1,1,0,1,0,0,1
158,6,0,0,1,1,0,1,0,0,1
14,4.5,0,0,1,1,1,0,1,0,0
15,4,0,0,1,1,1,0,1,0,0
27,4,0,0,1,1,1,0,1,0,0
38,2,0,0,1,1,1,0,1,0,0
74,4,0,0,1,1,1,0,0,1,0
155,2.5,0,0,1,1,1,0,0,0,1
161,5,0,0,1,1,1,0,0,0,1
44,7,0,0,1,1,1,1,1,0,0
93,4.5,0,0,1,1,1,1,0,1,0
154,3,0,0,1,1,1,1,0,0,1
182,1,0,0,1,1,1,1,0,0,1
10,5,0,1,1,0,0,0,1,0,0
94,6,0,1,1,0,0,0,0,1,0
126,3.5,0,1,1,0,0,0,0,1,0
189,5.5,0,1,1,0,0,0,0,0,1
32,5.5,0,1,1,0,0,1,1,0,0
78,4,0,1,1,0,0,1,0,1,0
90,5.5,0,1,1,0,0,1,0,1,0
107,2,0,1,1,0,0,1,0,1,0
191,5.5,0,1,1,0,0,1,0,0,1
19,3,0,1,1,0,1,0,1,0,0
66,5.5,0,1,1,0,1,0,1,0,0
146,1,0,1,1,0,1,0,0,0,1
160,1,0,1,1,0,1,0,0,0,1
178,5,0,1,1,0,1,0,0,0,1
193,1,0,1,1,0,1,0,0,0,1
12,5.5,0,1,1,0,1,1,1,0,0
36,1.5,0,1,1,0,1,1,1,0,0
37,3.5,0,1,1,0,1,1,1,0,0
41,4,0,1,1,0,1,1,1,0,0
51,2,0,1,1,0,1,1,1,0,0
105,5.5,0,1,1,0,1,1,0,1,0
118,1,0,1,1,0,1,1,0,1,0
129,3,0,1,1,0,1,1,0,1,0
164,5.5,0,1,1,0,1,1,0,0,1
60,5.5,0,1,1,1,0,0,1,0,0
68,2,0,1,1,1,0,0,0,1,0
69,5,0,1,1,1,0,0,0,1,0
106,3.5,0,1,1,1,0,0,0,1,0
139,1,0,1,1,1,0,0,0,0,1
5,6.5,0,1,1,1,0,1,1,0,0
18,1.5,0,1,1,1,0,1,1,0,0
26,2,0,1,1,1,0,1,1,0,0
42,5.5,0,1,1,1,0,1,1,0,0
62,3,0,1,1,1,0,1,1,0,0
65,7,0,1,1,1,0,1,1,0,0
71,5.5,0,1,1,1,0,1,0,1,0
111,6.5,0,1,1,1,0,1,0,1,0
128,2,0,1,1,1,0,1,0,1,0
6,3.5,0,1,1,1,1,0,1,0,0
40,1,0,1,1,1,1,0,1,0,0
103,5.5,0,1,1,1,1,0,0,1,0
184,6,0,1,1,1,1,0,0,0,1
187,2.5,0,1,1,1,1,0,0,0,1
188,5,0,1,1,1,1,0,0,0,1
59,3,0,1,1,1,1,1,1,0,0
63,7,0,1,1,1,1,1,1,0,0
104,4,0,1,1,1,1,1,0,1,0
109,2.5,0,1,1,1,1,1,0,1,0
120,5,0,1,1,1,1,1,0,1,0
121,4,0,1,1,1,1,1,0,1,0
122,7,0,1,1,1,1,1,0,1,0
169,4.5,0,1,1,1,1,1,0,0,1
180,6,0,1,1,1,1,1,0,0,1
183,5,0,1,1,1,1,1,0,0,1
186,5.5,0,1,1,1,1,1,0,0,1
22,2.5,1,0,1,0,0,0,1,0,0
81,1,1,0,1,0,0,0,0,1,0
102,1.5,1,0,1,0,0,0,0,1,0
143,2,1,0,1,0,0,0,0,0,1
7,5,1,0,1,0,0,1,1,0,0
13,3.5,1,0,1,0,0,1,1,0,0
28,2.5,1,0,1,0,0,1,1,0,0
58,1.5,1,0,1,0,0,1,1,0,0
76,1,1,0,1,0,0,1,0,1,0
119,1,1,0,1,0,0,1,0,1,0
135,4,1,0,1,0,0,1,0,0,1
151,5,1,0,1,0,0,1,0,0,1
152,5,1,0,1,0,0,1,0,0,1
156,2,1,0,1,0,0,1,0,0,1
4,2,1,0,1,0,1,0,1,0,0
115,3,1,0,1,0,1,0,0,1,0
140,2.5,1,0,1,0,1,0,0,0,1
144,1.5,1,0,1,0,1,0,0,0,1
159,1,1,0,1,0,1,0,0,0,1
24,2.5,1,0,1,0,1,1,1,0,0
35,5.5,1,0,1,0,1,1,1,0,0
57,4.5,1,0,1,0,1,1,1,0,0
73,2.5,1,0,1,0,1,1,0,1,0
174,4,1,0,1,0,1,1,0,0,1
3,6,1,0,1,1,0,0,1,0,0
21,5,1,0,1,1,0,0,1,0,0
96,1,1,0,1,1,0,0,0,1,0
108,5,1,0,1,1,0,0,0,1,0
112,2,1,0,1,1,0,0,0,1,0
153,1,1,0,1,1,0,0,0,0,1
8,5,1,0,1,1,0,1,1,0,0
25,2.5,1,0,1,1,0,1,1,0,0
77,5.5,1,0,1,1,0,1,0,1,0
79,5.5,1,0,1,1,0,1,0,1,0
84,5,1,0,1,1,0,1,0,1,0
85,5,1,0,1,1,0,1,0,1,0
91,4,1,0,1,1,1,0,0,1,0
141,7,1,0,1,1,1,0,0,0,1
176,5.5,1,0,1,1,1,0,0,0,1
70,4,1,0,1,1,1,1,0,1,0
72,3,1,0,1,1,1,1,0,1,0
110,2.5,1,0,1,1,1,1,0,1,0
127,5.5,1,0,1,1,1,1,0,1,0
145,7,1,0,1,1,1,1,0,0,1
147,6,1,0,1,1,1,1,0,0,1
86,1,1,1,1,0,0,0,0,1,0
113,6,1,1,1,0,0,0,0,1,0
117,1,1,1,1,0,0,0,0,1,0
130,1,1,1,1,0,0,0,0,1,0
142,5,1,1,1,0,0,0,0,0,1
192,3.5,1,1,1,0,0,0,0,0,1
49,3,1,1,1,0,0,1,1,0,0
83,5,1,1,1,0,0,1,0,1,0
95,5,1,1,1,0,0,1,0,1,0
125,5,1,1,1,0,0,1,0,1,0
172,2,1,1,1,0,0,1,0,0,1
98,1,1,1,1,0,1,0,0,1,0
114,3,1,1,1,0,1,0,0,1,0
166,3.5,1,1,1,0,1,0,0,0,1
39,1,1,1,1,0,1,1,1,0,0
48,2,1,1,1,0,1,1,1,0,0
50,3.5,1,1,1,0,1,1,1,0,0
56,1,1,1,1,0,1,1,1,0,0
61,4,1,1,1,0,1,1,1,0,0
124,6,1,1,1,0,1,1,0,1,0
131,6,1,1,1,0,1,1,0,1,0
16,1,1,1,1,1,0,0,1,0,0
23,5,1,1,1,1,0,0,1,0,0
75,2.5,1,1,1,1,0,0,0,1,0
99,3,1,1,1,1,0,0,0,1,0
150,2,1,1,1,1,0,0,0,0,1
190,3.5,1,1,1,1,0,0,0,0,1
9,5.5,1,1,1,1,0,1,1,0,0
43,3.5,1,1,1,1,0,1,1,0,0
55,3,1,1,1,1,0,1,1,0,0
137,4.5,1,1,1,1,0,1,0,0,1
157,5,1,1,1,1,0,1,0,0,1
173,5.5,1,1,1,1,0,1,0,0,1
31,2,1,1,1,1,1,0,1,0,0
34,1,1,1,1,1,1,0,1,0,0
47,3.5,1,1,1,1,1,0,1,0,0
53,2.5,1,1,1,1,1,0,1,0,0
89,2,1,1,1,1,1,0,0,1,0
134,5,1,1,1,1,1,0,0,0,1
170,2.5,1,1,1,1,1,0,0,0,1
179,3.5,1,1,1,1,1,0,0,0,1
20,2,1,1,1,1,1,1,1,0,0
30,3,1,1,1,1,1,1,1,0,0
45,5,1,1,1,1,1,1,1,0,0
46,1,1,1,1,1,1,1,1,0,0
52,6,1,1,1,1,1,1,1,0,0
54,1,1,1,1,1,1,1,1,0,0
64,5.5,1,1,1,1,1,1,1,0,0
67,2,1,1,1,1,1,1,0,1,0
100,2,1,1,1,1,1,1,0,1,0
116,7,1,1,1,1,1,1,0,1,0
123,1,1,1,1,1,1,1,0,1,0
132,1,1,1,1,1,1,1,0,1,0
149,5.5,1,1,1,1,1,1,0,0,1
162,7,1,1,1,1,1,1,0,0,1
165,5,1,1,1,1,1,1,0,0,1
168,6,1,1,1,1,1,1,0,0,1
175,5,1,1,1,1,1,1,0,0,1
177,4,1,1,1,1,1,1,0,0,1
181,6,1,1,1,1,1,1,0,0,1
185,4.5,1,1,1,1,1,1,0,0,1
